album_name,artist_name,release_date,spotify_url
Kind Of Blue (Legacy Edition),Miles Davis,1959-08-17,https://open.spotify.com/album/4sb0eMpDn3upAFfyi4q2rw
1951-1959 The Essential Works,Miles Davis,2019-11-29,https://open.spotify.com/album/32IbKbGO1znFrLR6LbDQbg
'Round About Midnight,Miles Davis,1957-03-18,https://open.spotify.com/album/4VUawqEDCHHfrUe77ScQ2K
Workin' With The Miles Davis Quintet,Miles Davis Quintet,1959,https://open.spotify.com/album/7buLIJn2VuqsVORghMEvli
Miles Davis And Horns,Miles Davis,1956,https://open.spotify.com/album/2EVuUPzrGCa5NvPD3h2SBA
Birth Of The Cool,Miles Davis,1957,https://open.spotify.com/album/0QWea2w5Y6pSoSWHuc7JMf
Ascenseur pour l'échafaud,Miles Davis,1958-01-29,https://open.spotify.com/album/0aoOdlpGLfNCUFhQu7UIs2
Kind Of Blue,Miles Davis,1959-08-17,https://open.spotify.com/album/1weenld61qoidwYuZ1GESA
A Catalogue of Jazz: Miles Davis,Miles Davis,2023-10-01,https://open.spotify.com/album/0MSHseNM8wauWXFqmRZaUV
Volume 2 (Vol. 2),Miles Davis,1956-01-01,https://open.spotify.com/album/01EFyT5MpC3LYaOzws2Yjv
Sketches Of Spain 50th Anniversary (Legacy Edition),Miles Davis,1960-07-18,https://open.spotify.com/album/4Gg3siRefHW8r2CndJxIiJ
Milestones,Miles Davis,1958-04,https://open.spotify.com/album/56I4vUYWQ4aXLiyfo8XuZv
Bitches Brew,Miles Davis,1970-04,https://open.spotify.com/album/3Q0zkOZEOC855ErOOJ1AdO
Miles Davis - A Jazz Legend,Miles Davis,2021-01-25,https://open.spotify.com/album/6YlVEAfzDbm6ul89skqKXL
Relaxin' With The Miles Davis Quintet,Miles Davis Quintet,1958,https://open.spotify.com/album/0dyIXPKoUBt1vFJHX57dqt
Steamin' [Rudy Van Gelder edition],Miles Davis,1961,https://open.spotify.com/album/6KJgxZYve2dbchVjw3MxBQ
Steamin' With The Miles Davis Quintet,Miles Davis Quintet,1961,https://open.spotify.com/album/0Q0bftWuBSwZAHBKZr0lxB
Walkin',Miles Davis,1957,https://open.spotify.com/album/7nFwdPkEbfMUb1c5xuHGR6
Blue Haze,Miles Davis,1956,https://open.spotify.com/album/5n4EHlLEtSUmTThc8sesDM
Miles Davis And Milt Jackson Quintet/Sextet,Miles Davis And Milt Jackson Quintet,1956,https://open.spotify.com/album/6QV1iyREyud3AGQZxf8Yt7
