playlist_name,owner_name,total_track,playlist_url
Miles Davis Radio,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1E4ycgaNdlRYCs
This Is Miles Davis,Spotify,75,https://open.spotify.com/playlist/37i9dQZF1DX3BqHI5fuXWV
Miles Davis Best Of,Hangout,44,https://open.spotify.com/playlist/7s3j2kN6vl2xNMTa8LGLrM
Miles Davis Mix,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1EIWy7Uo5kyok8
This Is Miles Davis Quintet,Spotify,44,https://open.spotify.com/playlist/37i9dQZF1DZ06evO49OvKK
Complete Discography Miles Davis,Lord Lethan,1521,https://open.spotify.com/playlist/11b18d62XEhcrdYmE3GvOm
Miles Davis & John Coltrane,ma12v,27,https://open.spotify.com/playlist/5Yoe2qWJ5gU6rpWpSyfHss
Miles Davis Quintet Mix,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1EIZOdVTr0xT5b
Miles Davis — Chill Mix,nikmauricio,35,https://open.spotify.com/playlist/0JeNB4GTuu751qDRWLB2Kf
"Cool Jazz (Chet Baker, Miles Davis, John Coltrane)",v8ah5ylwkthiba88kbsdlyt6h,55,https://open.spotify.com/playlist/6VpNrsxavSzcVZhou8W8VF
Miles Davis - Love Songs,V Mrtnz,9,https://open.spotify.com/playlist/11Dr6PdAcNLs8MrtYQQKik
Miles davis radio,Carlos Shigueo,71,https://open.spotify.com/playlist/5YWaMPjdBhPvvWVU9T8mLI
Miles Davis Quartet Mix,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1EIXGN7jteqgJl
Miles Davis: Electric Miles,miles-davis,49,https://open.spotify.com/playlist/6ZP1GJMSLtLpi61A9vdsyp
MILES DAVIS QUINTET,albertogutihaz,31,https://open.spotify.com/playlist/0u4zu9Q2XxFA6WT8WTRYaX
Written By Miles Davis,Spotify,216,https://open.spotify.com/playlist/37i9dQZF1EFI0Kzb17qEYK
Myles Smith Radio,Spotify,50,https://open.spotify.com/playlist/37i9dQZF1E4pGDWzU4pWNy
Miles Davis Greatest Ballads,Yovanni Rosario,88,https://open.spotify.com/playlist/48yHONkaBnRt3xZmARXMw4
Miles Davies Christmas,amylmdavies,105,https://open.spotify.com/playlist/2haMsWXd64Q6T0al7dwBWN
"Jazz Mix - Miles Davis, John Coltrane, Grant Green, Cannonball Adderley, Dave Brubeck , Stan Getz, Antonio Carlos Jobim",Ryan Lobo,168,https://open.spotify.com/playlist/0kxXgcufWk0hDB9TpF543n
